"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT10"
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-01",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-02",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-03",,,,,"1.45",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-04",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-05",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-06",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-07",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-08",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-09",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-10",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-11",,,,,"0.30",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-12",,,,,"0.73",,,,,,,,,,,,,,,,,,,,,,
"USC00414325","HOUSTON WESTBURY, TX US","29.70032","-95.42916","14.0","2015-01-13",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,
